configuration,event,time
10,1,801
10,2,796
10,3,798
10,4,795
10,5,797
10,6,800
10,7,799
10,8,817
10,9,798
10,10,816
10,11,818
10,12,797
10,13,816
10,14,800
10,15,817
10,16,796
10,17,819
10,18,798
10,19,815
10,20,797
10,21,794
10,22,799
10,23,800
10,24,798
10,25,799
10,26,796
10,27,801
10,28,799
10,29,796
10,30,819
10,31,801
10,32,797
10,33,800
10,34,798
10,35,799
10,36,798
10,37,800
10,38,798
10,39,798
10,40,799
10,41,819
10,42,797
10,43,816
10,44,800
10,45,798
10,46,800
10,47,798
10,48,799
10,49,796
10,50,801
10,51,799
10,52,800
10,53,814
10,54,797
10,55,818
10,56,799
10,57,817
10,58,801
10,59,796
10,60,797
10,61,813
10,62,800
10,63,797
10,64,796
10,65,797
10,66,802
10,67,800
10,68,798
10,69,797
10,70,797
10,71,797
10,72,800
10,73,798
10,74,797
10,75,797
10,76,802
10,77,797
10,78,796
10,79,799
10,80,816
10,81,797
10,82,795
10,83,796
10,84,798
10,85,814
10,86,799
10,87,817
10,88,797
10,89,795
10,90,799
10,91,797
10,92,797
10,93,797
10,94,795
10,95,799
10,96,819
10,97,800
10,98,817
10,99,797
10,100,820
10,101,795
10,102,803
10,103,797
10,104,797
10,105,817
10,106,798
10,107,817
10,108,796
10,109,821
