event,time,configuration
1,819,11
2,818,11
3,819,11
4,819,11
5,817,11
6,819,11
7,820,11
8,816,11
9,819,11
10,815,11
11,816,11
12,817,11
13,818,11
14,819,11
15,819,11
16,817,11
17,817,11
18,815,11
19,819,11
20,814,11
21,816,11
22,815,11
23,813,11
24,819,11
25,814,11
26,816,11
27,816,11
28,814,11
29,816,11
30,817,11
31,815,11
32,833,11
33,815,11
34,834,11
35,816,11
36,836,11
37,818,11
38,835,11
39,818,11
40,839,11
41,818,11
42,818,11
43,820,11
44,816,11
45,819,11
46,818,11
47,819,11
48,819,11
49,817,11
50,816,11
51,813,11
52,821,11
53,817,11
54,819,11
55,818,11
56,816,11
57,816,11
58,815,11
59,817,11
60,818,11
61,818,11
62,819,11
63,818,11
64,819,11
65,819,11
66,818,11
67,822,11
68,816,11
69,816,11
70,818,11
71,813,11
72,817,11
73,817,11
74,820,11
75,814,11
76,815,11
77,817,11
78,817,11
79,816,11
80,818,11
81,834,11
82,816,11
83,818,11
84,819,11
85,818,11
86,821,11
87,816,11
88,817,11
89,814,11
90,818,11
91,820,11
92,816,11
93,821,11
94,813,11
95,816,11
96,815,11
97,813,11
98,817,11
99,817,11
100,836,11
