configuration,event,time
1,1,799
1,2,818
1,3,814
1,4,816
1,5,818
1,6,817
1,7,816
1,8,817
1,9,818
1,10,815
1,11,818
1,12,818
1,13,816
1,14,818
1,15,817
1,16,836
1,17,836
1,18,816
1,19,835
1,20,839
1,21,818
1,22,837
1,23,820
1,24,819
1,25,821
1,26,838
1,27,837
1,28,836
1,29,834
1,30,858
1,31,815
1,32,835
1,33,818
1,34,817
1,35,838
1,36,839
1,37,818
1,38,819
1,39,838
1,40,837
1,41,860
1,42,815
1,43,818
1,44,839
1,45,839
1,46,818
1,47,817
1,48,841
1,49,832
1,50,836
1,51,817
1,52,816
1,53,835
1,54,838
1,55,838
1,56,837
1,57,838
1,58,818
1,59,818
1,60,820
1,61,840
1,62,836
1,63,835
1,64,838
1,65,837
1,66,857
1,67,855
1,68,857
1,69,879
1,70,917
1,71,818
1,72,815
1,73,817
1,74,840
1,75,816
1,76,817
1,77,837
1,78,837
1,79,837
1,80,838
1,81,816
1,82,817
1,83,837
1,84,838
1,85,837
1,86,840
1,87,858
1,88,840
1,89,818
1,90,816
1,91,817
1,92,841
1,93,838
1,94,820
1,95,815
1,96,838
1,97,818
1,98,819
1,99,839
1,100,839
1,101,838
1,102,838
1,103,857
1,104,856
1,105,857
2,1,817
2,2,798
2,3,817
2,4,800
2,5,821
2,6,797
2,7,817
2,8,797
2,9,816
2,10,799
2,11,799
2,12,816
2,13,799
2,14,816
2,15,793
2,16,819
2,17,800
2,18,817
2,19,820
2,20,815
2,21,797
2,22,793
2,23,800
2,24,818
2,25,798
2,26,817
2,27,799
2,28,817
2,29,820
2,30,818
2,31,817
2,32,800
2,33,819
2,34,796
2,35,818
2,36,838
2,37,818
2,38,817
2,39,838
2,40,840
2,41,820
2,42,814
2,43,820
2,44,814
2,45,816
2,46,820
2,47,837
2,48,839
2,49,798
2,50,818
2,51,814
2,52,814
2,53,818
2,54,818
2,55,820
2,56,818
2,57,817
2,58,817
2,59,797
2,60,816
2,61,815
2,62,818
2,63,817
2,64,798
2,65,817
2,66,794
2,67,818
2,68,818
2,69,816
2,70,816
2,71,800
2,72,797
2,73,797
2,74,816
2,75,816
2,76,817
2,77,816
2,78,817
2,79,817
2,80,836
2,81,798
2,82,814
2,83,797
2,84,818
2,85,794
2,86,817
2,87,797
2,88,815
2,89,818
2,90,836
2,91,818
2,92,798
2,93,817
2,94,797
2,95,818
2,96,799
2,97,819
2,98,819
2,99,817
2,100,817
2,101,814
2,102,797
2,103,813
2,104,795
2,105,815
2,106,821
2,107,818
2,108,820
3,1,776
3,2,777
3,3,781
3,4,777
3,5,779
3,6,776
3,7,774
3,8,800
3,9,777
3,10,799
3,11,777
3,12,779
3,13,780
3,14,778
3,15,779
3,16,799
3,17,776
3,18,778
3,19,795
3,20,796
3,21,798
3,22,778
3,23,798
3,24,777
3,25,797
3,26,776
3,27,774
3,28,799
3,29,798
3,30,797
3,31,778
3,32,799
3,33,782
3,34,796
3,35,780
3,36,778
3,37,798
3,38,798
3,39,779
3,40,797
3,41,779
3,42,777
3,43,777
3,44,779
3,45,779
3,46,778
3,47,799
3,48,778
3,49,799
3,50,798
3,51,777
3,52,774
3,53,797
3,54,775
3,55,800
3,56,777
3,57,777
3,58,797
3,59,794
3,60,816
3,61,777
3,62,799
3,63,777
3,64,816
3,65,790
3,66,777
3,67,779
3,68,817
3,69,798
3,70,777
3,71,797
3,72,779
3,73,778
3,74,778
3,75,777
3,76,780
3,77,797
3,78,783
3,79,779
3,80,779
3,81,780
3,82,775
3,83,777
3,84,780
3,85,798
3,86,777
3,87,796
3,88,776
3,89,804
3,90,776
3,91,798
3,92,780
3,93,777
3,94,798
3,95,796
3,96,795
3,97,797
3,98,777
3,99,778
3,100,777
3,101,779
3,102,778
3,103,795
3,104,775
3,105,778
3,106,781
3,107,798
3,108,777
3,109,796
3,110,796
3,111,772
4,1,777
4,2,777
4,3,774
4,4,776
4,5,779
4,6,775
4,7,777
4,8,777
4,9,778
4,10,778
4,11,783
4,12,773
4,13,777
4,14,777
4,15,776
4,16,776
4,17,781
4,18,775
4,19,779
4,20,795
4,21,779
4,22,776
4,23,779
4,24,776
4,25,776
4,26,796
4,27,777
4,28,780
4,29,777
4,30,777
4,31,779
4,32,778
4,33,778
4,34,774
4,35,780
4,36,778
4,37,777
4,38,777
4,39,796
4,40,800
4,41,779
4,42,777
4,43,776
4,44,779
4,45,775
4,46,777
4,47,778
4,48,779
4,49,774
4,50,797
4,51,797
4,52,773
4,53,774
4,54,775
4,55,777
4,56,781
4,57,776
4,58,778
4,59,779
4,60,778
4,61,797
4,62,800
4,63,777
4,64,777
4,65,775
4,66,777
4,67,775
4,68,780
4,69,778
4,70,777
4,71,779
4,72,780
4,73,777
4,74,775
4,75,780
4,76,779
4,77,800
4,78,796
4,79,780
4,80,777
4,81,781
4,82,780
4,83,777
4,84,781
4,85,776
4,86,776
4,87,800
4,88,797
4,89,798
4,90,778
4,91,774
4,92,779
4,93,777
4,94,778
4,95,779
4,96,778
4,97,775
4,98,778
4,99,779
4,100,797
4,101,783
4,102,775
4,103,778
4,104,777
4,105,778
4,106,778
4,107,777
4,108,799
4,109,796
4,110,776
4,111,776
5,1,759
5,2,761
5,3,757
5,4,777
5,5,774
5,6,779
5,7,777
5,8,781
5,9,776
5,10,777
5,11,753
5,12,756
5,13,759
5,14,758
5,15,757
5,16,756
5,17,755
5,18,758
5,19,776
5,20,779
5,21,776
5,22,777
5,23,778
5,24,777
5,25,778
5,26,778
5,27,756
5,28,759
5,29,779
5,30,776
5,31,758
5,32,755
5,33,757
5,34,758
5,35,760
5,36,777
5,37,777
5,38,776
5,39,776
5,40,778
5,41,781
5,42,779
5,43,778
5,44,775
5,45,757
5,46,758
5,47,756
5,48,761
5,49,757
5,50,756
5,51,756
5,52,758
5,53,755
5,54,759
5,55,757
5,56,758
5,57,761
5,58,758
5,59,755
5,60,757
5,61,777
5,62,774
5,63,780
5,64,776
5,65,778
5,66,777
5,67,757
5,68,775
5,69,776
5,70,778
5,71,776
5,72,760
5,73,777
5,74,779
5,75,759
5,76,778
5,77,780
5,78,777
5,79,758
5,80,757
5,81,756
5,82,757
5,83,760
5,84,759
5,85,756
5,86,758
5,87,759
5,88,758
5,89,756
