configuration,mean_period,sigma_t,distance_m,teo_period
1,1.99517948717949,0.00377576618137433,0.1,1.93804453654371
2,1.74404819277108,0.0193150412856102,0.15,1.6850429404141
3,1.64573170731707,0.02244282105267,0.2,1.57532658262726
4,1.61920930232558,0.0191987231677585,0.22,1.55232218717791
5,1.56202272727273,0.0157786246160855,0.25,1.53215873558089
6,1.55445544554455,0.00422261708535181,0.27,1.52598523661584
7,1.53176237623762,0.0201361111016261,0.3,1.52484528697099
8,1.57145882352941,0.0204855076190209,0.32,1.52832353873836
9,1.54402469135802,0.0183425566025036,0.35,1.5383997338623
10,1.58584269662921,0.0154131724039747,0.37,1.54769731327076
11,1.59621333333333,0.00381424546515671,0.4,1.56464627926035
12,1.60351401869159,0.0155862569398772,0.42,1.57755519828838
13,1.63554455445545,0.00875845277714649,0.45,1.59880517303687
