event,time,configuration
1,817,2
2,798,2
3,817,2
4,800,2
5,821,2
6,797,2
7,817,2
8,797,2
9,816,2
10,799,2
11,799,2
12,816,2
13,799,2
14,816,2
15,793,2
16,819,2
17,800,2
18,817,2
19,820,2
20,815,2
21,797,2
22,793,2
23,800,2
24,818,2
25,798,2
26,817,2
27,799,2
28,817,2
29,820,2
30,818,2
31,817,2
32,800,2
33,819,2
34,796,2
35,818,2
36,838,2
37,818,2
38,817,2
39,838,2
40,840,2
41,820,2
42,814,2
43,820,2
44,814,2
45,816,2
46,820,2
47,837,2
48,839,2
49,798,2
50,818,2
51,814,2
52,814,2
53,818,2
54,818,2
55,820,2
56,818,2
57,817,2
58,817,2
59,797,2
60,816,2
61,815,2
62,818,2
63,817,2
64,798,2
65,817,2
66,794,2
67,818,2
68,818,2
69,816,2
70,816,2
71,800,2
72,797,2
73,797,2
74,816,2
75,816,2
76,817,2
77,816,2
78,817,2
79,817,2
80,836,2
81,798,2
82,814,2
83,797,2
84,818,2
85,794,2
86,817,2
87,797,2
88,815,2
89,818,2
90,836,2
91,818,2
92,798,2
93,817,2
94,797,2
95,818,2
96,799,2
97,819,2
98,819,2
99,817,2
100,817,2
101,814,2
102,797,2
103,813,2
104,795,2
105,815,2
106,821,2
107,818,2
108,820,2
