Event#, Time(ms)
1,759
2,761
3,757
4,777
5,774
6,779
7,777
8,781
9,776
10,777
11,753
12,756
13,759
14,758
15,757
16,756
17,755
18,758
19,776
20,779
21,776
22,777
23,778
24,777
25,778
26,778
27,756
28,759
29,779
30,776
31,758
32,755
33,757
34,758
35,760
36,777
37,777
38,776
39,776
40,778
41,781
42,779
43,778
44,775
45,757
46,758
47,756
48,761
49,757
50,756
51,756
52,758
53,755
54,759
55,757
56,758
57,761
58,758
59,755
60,757
61,777
62,774
63,780
64,776
65,778
66,777
67,757
68,775
69,776
70,778
71,776
72,760
73,777
74,779
75,759
76,778
77,780
78,777
79,3189
80,758
81,757
82,756
83,757
84,760
85,759
86,756
87,758
88,759
89,758
90,756
91,757
92,760
93,757
94,754
95,754
96,758
97,779
98,756
99,757
100,758
101,756
102,777
